rank,feature_name,n_total,n_valid_x,valid_fraction,pairwise_n,n_unique,mean,std,min,max,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson,abs_spearman,mutual_information,bootstrap_spearman_median,bootstrap_spearman_ci_low,bootstrap_spearman_ci_high,bootstrap_sign_stability,feature_set_name,feature_family,operation,condition,base_feature,formula_readable,feature_readable,status,recommended,not_recommended_reason
1,ecg_raw_rest_before::before__long__full__morph_t__RT_interval_ms,22,7,0.3181818181818182,7,5,245.5595161929135,44.52132958415829,145.020260183408,268.7140115163148,0.2141450140645309,0.6447341899186956,0.6972770512466951,0.08160974637101354,0.2141450140645309,0.6972770512466951,0.0,0.6839563298798127,-0.14276887489145898,0.989689889001402,0.9618473895582329,ecg_raw_rest_before,ECG raw,absolute,before/long/full,morph_t__RT_interval_ms,absolute value,"RT interval, ms (before, long, full)",reject,False,low_valid_fraction
2,ecg_raw_rest_before::before__long__full__morph_qrs__R_width_half_ms,22,7,0.3181818181818182,7,3,34.122414160801874,4.265301770100234,29.857112390701644,42.65301770100235,-0.45952300011204644,0.2995752866857375,-0.6432242017658957,0.11911248483727523,0.45952300011204644,0.6432242017658957,0.04285714285714293,-0.6627334956636112,-0.9393364366277241,0.20381606986937764,0.9443298969072165,ecg_raw_rest_before,ECG raw,absolute,before/long/full,morph_qrs__R_width_half_ms,absolute value,"R half-width, ms (before, long, full)",reject,False,low_valid_fraction;low_unique_values
3,ecg_raw_rest_before::before__long__full__morph_t__QT_like_ms,22,7,0.3181818181818182,7,5,330.2562227706182,26.160959062181607,272.979313286415,345.48944337811906,0.22743863998050864,0.6237966617492368,0.5422692542049051,0.20856725139778975,0.22743863998050864,0.5422692542049051,0.0,0.5925925925925927,-0.2075471698113208,0.9166060555964672,0.8913480885311871,ecg_raw_rest_before,ECG raw,absolute,before/long/full,morph_t__QT_like_ms,absolute value,"QT-like interval, ms (before, long, full)",reject,False,low_valid_fraction
4,ecg_raw_rest_before::before__sit__full__morph_qrs__QRS_area,22,15,0.6818181818181818,15,15,9.44353489468214,1.420915396897968,7.796662018221651,13.550922698078978,-0.34972953777322746,0.2013175638050627,-0.5175304512959598,0.048169843046211816,0.34972953777322746,0.5175304512959598,0.0,-0.5139082361683834,-0.8569659183485263,0.028663088863212803,0.966,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,morph_qrs__QRS_area,absolute value,"QRS area (before, sit, full)",recommended,True,strong_association;stable_direction;sufficient_coverage
5,ecg_orthostatic_before::orthostatic_before__hrv_time__pNN50_percent__ratio,22,22,1.0,22,20,0.3970199677779663,0.5228472382702252,0.0,2.391891891891892,0.4231670797177793,0.04972876524829237,0.45735381694094057,0.03234792383678911,0.4231670797177793,0.45735381694094057,0.0,0.4801709073762347,-0.01037257008299105,0.7831027406227556,0.972,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__pNN50_percent,ratio,"Orthostatic response before training: pNN50, % — ratio",recommended,True,strong_association;stable_direction;sufficient_coverage
6,ecg_orthostatic_before::orthostatic_before__hrv_time__pNN50_percent__percent_delta,22,22,1.0,22,20,-60.29800322220337,52.28472382702251,-100.0,139.18918918918922,0.42316707971777934,0.04972876524829237,0.45735381694094057,0.03234792383678911,0.42316707971777934,0.45735381694094057,0.0,0.4801709073762347,-0.01037257008299105,0.7831027406227556,0.972,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__pNN50_percent,percent change,"Orthostatic response before training: pNN50, % — percent change",recommended,True,strong_association;stable_direction;sufficient_coverage
7,ecg_orthostatic_before::orthostatic_before__hrv_freq__LF_HF_ratio__delta,22,22,1.0,22,22,3.18282076814176,5.845623903731907,-4.491263554285037,17.614810300384946,-0.2555810275258841,0.25096883414057125,-0.38890587550797884,0.07364125167117566,0.2555810275258841,0.38890587550797884,0.1078226111771714,-0.41453435694611274,-0.7268032727958904,0.09090581939386289,0.956,ecg_orthostatic_before,HRV frequency,orthostatic_before,Orthostatic response before training,hrv_freq__LF_HF_ratio,difference,Orthostatic response before training: LF/HF ratio — difference,candidate,False,moderate_association;passes_minimum_filters
8,ecg_raw_rest_before::before__long__full__hrv_time__pNN50_percent,22,21,0.9545454545454546,21,21,20.33181472593069,15.404225657110917,2.6578073089701,67.61006289308176,0.33223945148569184,0.14116646701095556,0.3881488501706424,0.08208284320688798,0.33223945148569184,0.3881488501706424,0.18899052137110628,0.3978365755804419,-0.05795767147662618,0.7282936666003864,0.956,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_time__pNN50_percent,absolute value,"pNN50, % (before, long, full)",candidate,False,moderate_association;passes_minimum_filters
9,ecg_raw_rest_before::before__sit__full__morph_qrs__QRS_duration_ms,22,15,0.6818181818181818,15,9,102.93594938508565,23.07471754167154,76.77543186180424,136.4896566432075,0.3370241989331279,0.21930167532539813,0.3819006088739736,0.16011071677098493,0.3370241989331279,0.3819006088739736,0.0,0.37300645066705984,-0.24487629574608769,0.7853408011239179,0.882,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,morph_qrs__QRS_duration_ms,absolute value,"QRS duration, ms (before, sit, full)",candidate,False,moderate_association;passes_minimum_filters
10,ecg_orthostatic_before::orthostatic_before__hrv_freq__HF_power__percent_delta,22,22,1.0,22,22,-10.459066176750275,94.46982921645467,-79.70300631063158,342.44155108465736,0.07941728192149285,0.7253542146888317,0.377017922981534,0.08369504236404626,0.07941728192149285,0.377017922981534,0.3705217223124624,0.3993223686723157,-0.14544385468109172,0.714990553903209,0.916,ecg_orthostatic_before,HRV frequency,orthostatic_before,Orthostatic response before training,hrv_freq__HF_power,percent change,Orthostatic response before training: HF power — percent change,candidate,False,moderate_association;passes_minimum_filters
